Category,SubCategory,Title,OriginalPrice,DiscountedPrice,Discount,SellerName,NumberofRatings,PositiveSellerRatings,ShipOnTime,ChatResponseRate,DeliveryType,ProductToBeSold,SellPercentageToIncrease,Product_ID
"Watches, Bags, Jewellery",Kids Bags,Kids Bag toddler backpack with leash messenger bag kids kids cartoon backpack cartoon school backpack,495,259,48,Mom & Kids Bazar,6,87,0,96,Standard Delivery,95.56,92,c563707f-8742-4951-81de-54118720c929
"Watches, Bags, Jewellery",Kids Bags,Children Backpacks Cute Student Schoolbags For Girls Primary School Bag Waterproof Children's Book Bags For Teenagers Girls Kids,1800,1350,25,ONE MORE.,0,72,0,74,Standard Delivery,66.67,34,784f5085-4341-4903-b902-580c3cae2c74
"Watches, Bags, Jewellery",Kids Bags,Kids School Bag School kids hi quality bag 12/17 inc,820,594,28,Samiha's Fashion,1,0,0,100,Free Delivery,69.02,39,a28332e5-2378-4840-b3da-efdde1469dfc
"Watches, Bags, Jewellery",Kids Bags,8x9 Inches Mickey Mouse Boys Girls Cartoon Mini Backpack Preschool Baby Schoolbag,350,340,3,FlickMart BD,0,93,0,96,Standard Delivery,51.47,3,3f2c5a3e-a96c-4e38-9d77-72add977ea6c
"Watches, Bags, Jewellery",Kids Bags,Kawaii Sanrio Plush Purse Cute Mymelody Kuromi Cartoon Mini Storage Wallet Headset Bag Girl Backpack Pendant,282,142,50,ILOVEDIY,7,87,100,99,Free Delivery,99.3,99,e7c0ba72-dc0c-4a9c-8950-896dd8d11202
"Watches, Bags, Jewellery",Kids Bags,CHINA SCHOOL BAG WATERPROOF WASHABLE,1450,1125,22,LUGGAGE POINT,4,90,0,92,Standard Delivery,64.44,29,6e8715fd-8519-41f8-8edf-97a8b2bd302a
"Watches, Bags, Jewellery",Kids Bags,Casual Nylon Backpack Travel Rucksack Solid Color Women Backpack Student School Bags Laptop Knapsack Teenager Girls Book Bags,1560,936,40,VooVoo Store,2,0,100,0,Standard Delivery,83.33,67,24c78240-c7fb-4da1-a820-101bde74e577
"Watches, Bags, Jewellery",Kids Bags,Kids bag toddler backpack with leash messenger bag kids kids cartoon backpack cartoon school backpack,550,269,51,Aviva Deal International,3,80,0,96,Standard Delivery,102.23,105,53de66e7-fe28-490d-8723-6b33668b6181
"Watches, Bags, Jewellery",Kids Bags,"Elevate Your Travel with a Waterproof Embroidery Multifunctional Anti-Theft Backpack for Girls: Large Capacity, Trendy Comfort, and Simple Style",1290,542,58,Life Time Gadget,6,0,0,94,Standard Delivery,119,138,74301fe0-d98c-43f1-b5ff-cd6cb88d44d1
"Watches, Bags, Jewellery",Kids Bags,Understated -Craftsmanship and Trendy -8x9 Inches Minions Boys Girls Cartoon Mini Backpack Preschool Baby Schoolbag- Progressively Better,350,294,16,FlickMart BD,0,93,0,96,Standard Delivery,59.52,20,42f6f6bb-89c5-47db-8c99-e99f197703c5
"Watches, Bags, Jewellery",Kids Bags,"school bag,,,,for class one/two/three",580,350,40,SP bag house,0,0,0,50,Free Delivery,82.86,66,fb57584c-a70d-4945-8ae7-5130729383f1
"Watches, Bags, Jewellery",Kids Bags,Cartoon Kids Unicorn Canvas Backpack School Bag Fashion For Stationery SEVICH,1195,824,31,SEVICH Store,0,77,100,100,Free Delivery,72.51,46,72bea949-60fe-47f6-80d9-e2df45a2acf9
"Watches, Bags, Jewellery",Kids Bags,Mickey Mouse bag for girls Small bag Small backpack for girls/ Stylish Backpack For Girls/Casual Backpack - Bag,350,135,61,FastMart BD,6,81,0,100,Standard Delivery,129.63,160,e5c001f9-e683-4f60-a1ba-956f7e11f269
"Watches, Bags, Jewellery",Kids Bags,School Bag Kids School Bag Boy's and Girls 14 inchi,800,637,20,Bag Bazar BD,0,84,0,88,Standard Delivery,62.79,26,a63692e0-be31-47e0-9d9b-41937b3d69ab
"Watches, Bags, Jewellery",Kids Bags,Kids handbags For Girls cartoon bag styling Mini shoulder Messenger bag cartoon cute girls cat bag fashion shoulder diagonal crossbody handbag,450,367,18,Closet number 11,4,90,0,98,Free Delivery,61.31,23,b37a6233-6c25-4af8-90dd-2fe92f88148e
"Watches, Bags, Jewellery",Kids Bags,badgeKorean School Backpacks for Women,1000,399,60,Mahamuda Fashion House,1,80,0,100,Standard Delivery,125.31,151,f11e2d5c-6a71-4486-a09e-ea450956e85f
"Watches, Bags, Jewellery",Kids Bags,Unicorn Kid Purse-Cute Unicorn Bag-Custom Toddler Purse -Personalized Girl Crossbody Bag-Girls Coin Purse-little girl Birthday Gift,999,489,51,Fashion Galaxy BD,1,0,0,100,Free Delivery,102.15,105,419eeb9c-eb80-446e-b9c9-ca39f7a72d84
"Watches, Bags, Jewellery",Kids Bags,DishyKooker Children Fashion Plush Messenger Bag Cartoon Unicorn Large-capacity Zipper Round Shoulder Bags,370,220,41,DishyKooker,0,0,100,88,Free Delivery,84.09,69,41eaa78d-3a61-40db-ada9-03033bb633c1
"Watches, Bags, Jewellery",Kids Bags,"Fidget Toys Crossbody Bags for Women Girls, Fidget Pop Bubble Shoulder Bag Silicone Push Bubble Messenger Bag Relieve Stress, Crossbody Small Purse Sensory Toys for School Home (Colorful Unicorn)",717,501,30,SIFREE,1,81,100,52,Standard Delivery,71.56,44,1dde3f23-5c2e-4951-a7db-5b7ba41e51ff
"Watches, Bags, Jewellery",Kids Bags,China Cute Hello Kitty Cartoon Shape Stylish Shoulder Bag For Girls Or Kids Bag,490,284,42,K. M. ORNA HOUSE,29,87,0,99,Free Delivery,86.27,73,4b7d2e98-6d28-4352-9d67-d74b71722ebe
"Watches, Bags, Jewellery",Kids Bags,Kids Crossbody Bag Wear-Resistant Fashion Cartoon Car Shape Crossbody Bag,759,389,49,Laputa,1,82,100,94,Standard Delivery,97.56,96,ea14ce71-4056-4cc8-82e2-8694764d674e
"Watches, Bags, Jewellery",Kids Bags,1pc Niqab Muslimah Korea Women Shoulder bagpack For teenage girls - School Bag For Girls - School Bag For Girls,1000,500,50,Somoy Bachai,0,76,0,99,Free Delivery,100,100,7ba2b1a4-2b83-4984-ae68-832bd482a186
"Watches, Bags, Jewellery",Kids Bags,Sea Gold School Bag Kids Bag For Made In China,990,700,29,Bag Bazar BD,1,84,0,88,Standard Delivery,70.71,42,3d4992f6-fb4b-4e8d-9c8b-ae63345fa5db
"Watches, Bags, Jewellery",Kids Bags,Cartoon Kids Unicorn Canvas Backpack School Bag Fashion For Stationery Layor,1555,1040,33,Layor,0,78,100,100,Free Delivery,74.76,50,7d9fce05-3931-4fe1-b4cc-39f328a5152c
"Watches, Bags, Jewellery",Kids Bags,DishyKooker Student Nylon Backpack Large-capacity Rust-proof Smooth Zipper Schoolbag For Junior High School Students,2120,1270,40,DishyKooker,0,0,100,88,Free Delivery,83.46,67,8b47de8a-7529-480a-96d1-2650fe3ddc7f
"Watches, Bags, Jewellery",Kids Bags,Girls China School Bag Use For Girls Waterproof and Washable,1250,790,37,ONE MORE.,0,72,0,74,Standard Delivery,79.11,59,0626d016-8866-4b50-91e2-4e93227700fc
"Watches, Bags, Jewellery",Kids Bags,"Toddler Girls Plush Backpack, Cute Cartoon Pattern School Bag Lightweight Daypack",886,762,14,Jumperjuser,1,89,100,86,Free Delivery,58.14,17,af06a88c-6a34-489e-b28f-27cc57bf2460
"Watches, Bags, Jewellery",Kids Bags,Kinder Garden School Bag,600,350,42,Alpha Super Shop,2,86,0,90,Standard Delivery,85.71,72,f5da6a56-671b-4a0e-9884-57f0b9f2534f
"Watches, Bags, Jewellery",Kids Bags,girls backpack school bag set. school bag and lunch bag set for kids. schoolbags for girls.,2200,1771,20,PROHOR,0,82,0,100,Free Delivery,62.11,25,b0ddead5-9a9f-4b13-9a87-700a95dfc912
"Watches, Bags, Jewellery",Kids Bags,New Animal Children mini Backpacks Kids school bag for girls Preschool Bags Cartoon Panda Book Bags for Baby Girl Boy Anti Lost Backpack for Kids,450,234,48,Taqua Mart BD,2,77,0,100,Standard Delivery,96.15,93,bb39820e-ab80-4e0a-ad0d-34715cec0f20
"Watches, Bags, Jewellery",Kids Bags,Escape School Backpack for Kids - Students - 22 Litres - Pink - K-003,1500,1500,0,Escape,2,75,0,100,Free Delivery,50,0,6bb0ebfb-f58a-43dd-8111-f7e5a04df8d0
"Watches, Bags, Jewellery",Kids Bags,Understated -Children Backpacks Kids Preschool Bags Cartoon Panda Book Bags for Baby Girl Boy Anti Lost Backpack for Kids- Progressively Better,350,195,44,Everyday Elegance,0,70,0,100,Standard Delivery,89.74,80,5392589f-5794-4f46-8f50-ce5ac552da21
"Watches, Bags, Jewellery",Kids Bags,Nylon Animal Children Backpacks Kids Preschool Bags Cartoon Panda Book Bags for Baby Girl Boy Anti Lost Backpack for Kids,450,200,56,Baby Mall BD,0,86,0,0,Standard Delivery,112.5,125,40b4e69d-2aa3-4846-a700-becea57556ed
"Watches, Bags, Jewellery",Kids Bags,20L Backpacks Bunny Backpack Children School Bags Cute Kids Backpacks Portable Backpacks Boys And Girls School Book Backpack,1513,865,43,gushen store,1,0,100,93,Free Delivery,87.46,75,35cbecb7-c54e-416f-84b6-a9c1a7dc1e91
"Watches, Bags, Jewellery",Kids Bags,Waterproof Business laptop backpack women USB Notebook School Travel Bags Men anti theft school Backpack,1200,1158,4,Shirin Online Fashion,0,79,0,88,Free Delivery,51.81,4,bfbe83f1-fa19-4730-ae20-c6ecc97af15e
"Watches, Bags, Jewellery",Kids Bags,"schools bag,for class 5/6/7,and fashion bag,",750,640,15,sp shopping shop,0,82,0,100,Standard Delivery,58.59,18,46981d19-f245-4866-840b-7cb08225bf01
